dimensão  r^3/vol  abs(r^3 - vol)
225  0.00000000  1.00000000
226  0.00000000  1.00000000
227  0.00000000  1.00000000
228  0.00000000  1.00000000
229  0.00000000  1.00000000
230  0.00000000  1.00000000
231  0.00000000  1.00000000
232  0.00000000  1.00000000
233  0.00000000  1.00000000
234  0.00000000  1.00000000
235  0.00000000  1.00000000
236  0.00000000  1.00000000
237  0.00000000  1.00000000
238  0.00000000  1.00000000
239  0.00000000  1.00000000
240  0.00000000  1.00000000
241  0.00000000  1.00000000
242  0.00000000  1.00000000
243  0.00000000  1.00000000
244  0.00000000  1.00000000
245  0.00000000  1.00000000
246  0.00000000  1.00000000
247  0.00000000  1.00000000
248  0.00000000  1.00000000
249  0.00000000  1.00000000
250  0.00000000  1.00000000
251  0.00000000  1.00000000
252  0.00000000  1.00000000
253  0.00000000  1.00000000
254  0.00000000  1.00000000
255  0.00000000  1.00000000
256  0.00000000  1.00000000
257  0.00000000  1.00000000
258  0.00000000  1.00000000
259  0.00000000  1.00000000
260  0.00000000  1.00000000
261  0.00000000  1.00000000
262  0.00000000  1.00000000
263  0.00000000  1.00000000
264  0.00000000  1.00000000
265  0.00000000  1.00000000
266  0.00000000  1.00000000
267  0.00000000  1.00000000
268  0.00000000  1.00000000
269  0.00000000  1.00000000
270  0.00000000  1.00000000
271  0.00000000  1.00000000
272  0.00000000  1.00000000
273  0.00000000  1.00000000
274  0.00000000  1.00000000
275  0.00000000  1.00000000
276  0.00000000  1.00000000
277  0.00000000  1.00000000
278  0.00000000  1.00000000
279  0.00000000  1.00000000
280  0.00000000  1.00000000
281  0.00000000  1.00000000
282  0.00000000  1.00000000
283  0.00000000  1.00000000
284  0.00000000  1.00000000
285  0.00000000  1.00000000
286  0.00000000  1.00000000
287  0.00000000  1.00000000
288  0.00000000  1.00000000
289  0.00000000  1.00000000
290  0.00000000  1.00000000
291  0.00000000  1.00000000
292  0.00000000  1.00000000
293  0.00000000  1.00000000
294  0.00000000  1.00000000
295  0.00000000  1.00000000
296  0.00000000  1.00000000
297  0.00000000  1.00000000
298  0.00000000  1.00000000
299  0.00000000  1.00000000
300  0.00000000  1.00000000
